id,zip,lat,lng,population,timezone,city,state,type
119,00951,18.407299,-66.08989,399,America/Puerto_Rico,San Juan,PR,zona urbana
120,00952,18.407299,-66.08989,8488,America/Puerto_Rico,San Juan,PR,comunidad
121,00953,18.407299,-66.08989,66475,America/Puerto_Rico,San Juan,PR,comunidad
122,00956,18.407299,-66.08989,67050,America/Puerto_Rico,San Juan,PR,zona urbana
123,00957,18.407299,-66.08989,40357,America/Puerto_Rico,San Juan,PR,zona urbana
124,00959,18.407299,-66.08989,46409,America/Puerto_Rico,San Juan,PR,zona urbana
125,00960,18.407299,-66.08989,3340,America/Puerto_Rico,San Juan,PR,zona urbana
126,00961,18.407299,-66.08989,28891,America/Puerto_Rico,San Juan,PR,zona urbana
127,00962,18.407299,-66.08989,19213,America/Puerto_Rico,San Juan,PR,zona urbana
128,00965,18.407299,-66.08989,5886,America/Puerto_Rico,San Juan,PR,zona urbana
129,00966,18.407299,-66.08989,17715,America/Puerto_Rico,San Juan,PR,zona urbana
130,00968,18.407299,-66.08989,3488,America/Puerto_Rico,San Juan,PR,zona urbana
131,00969,18.407299,-66.08989,41619,America/Puerto_Rico,San Juan,PR,zona urbana
132,00971,18.407299,-66.08989,25499,America/Puerto_Rico,San Juan,PR,zona urbana
133,00976,18.407299,-66.08989,61306,America/Puerto_Rico,San Juan,PR,zona urbana
134,00979,18.407299,-66.08989,15597,America/Puerto_Rico,San Juan,PR,zona urbana
135,00982,18.407299,-66.08989,13839,America/Puerto_Rico,San Juan,PR,zona urbana
136,00983,18.407299,-66.08989,31583,America/Puerto_Rico,San Juan,PR,zona urbana
137,00985,18.407299,-66.08989,31783,America/Puerto_Rico,San Juan,PR,zona urbana
138,00987,18.407299,-66.08989,55039,America/Puerto_Rico,San Juan,PR,zona urbana
139,01001,42.22354,-72.555,16136,America/New_York,Palmer Town,MA,city
140,01002,42.22354,-72.555,24726,America/New_York,Palmer Town,MA,city
141,01003,42.22354,-72.555,12458,America/New_York,Palmer Town,MA,city
142,01005,42.22354,-72.555,4786,America/New_York,Palmer Town,MA,CDP
143,01007,42.22354,-72.555,15406,America/New_York,Palmer Town,MA,CDP
144,01008,42.22354,-72.555,1324,America/New_York,Palmer Town,MA,CDP
145,01009,42.22354,-72.555,790,America/New_York,Palmer Town,MA,city
146,01010,42.22354,-72.555,3694,America/New_York,Palmer Town,,
147,01011,42.22354,-72.555,1205,America/New_York,Palmer Town,MA,CDP
148,01012,42.22354,-72.555,387,America/New_York,Palmer Town,,
149,01013,42.22354,-72.555,22950,America/New_York,Palmer Town,MA,city
150,01020,42.22354,-72.555,30230,America/New_York,Palmer Town,MA,city
151,01022,42.22354,-72.555,2045,America/New_York,Palmer Town,MA,city
152,01026,42.22354,-72.555,1005,America/New_York,Palmer Town,,
153,01027,42.22354,-72.555,17678,America/New_York,Palmer Town,MA,city
154,01028,42.22354,-72.555,16283,America/New_York,Palmer Town,MA,city
155,01029,42.22354,-72.555,652,America/New_York,Palmer Town,,
156,01030,42.22354,-72.555,12374,America/New_York,Palmer Town,MA,city
157,01031,42.22354,-72.555,1715,America/New_York,Palmer Town,,
158,01032,42.22354,-72.555,503,America/New_York,Palmer Town,,
159,01033,42.22354,-72.555,6088,America/New_York,Palmer Town,MA,CDP
160,01034,42.22354,-72.555,2100,America/New_York,Palmer Town,,
161,01035,42.22354,-72.555,5299,America/New_York,Palmer Town,,
162,01036,42.22354,-72.555,4937,America/New_York,Palmer Town,,
163,01037,42.22354,-72.555,486,America/New_York,Palmer Town,,
164,01038,42.22354,-72.555,2534,America/New_York,Palmer Town,MA,CDP
165,01039,42.22354,-72.555,1660,America/New_York,Palmer Town,,
166,01040,42.22354,-72.555,37949,America/New_York,Palmer Town,MA,city
167,01050,42.22354,-72.555,2573,America/New_York,Palmer Town,MA,CDP
168,01053,42.22354,-72.555,2033,America/New_York,Palmer Town,MA,city
169,01054,42.22354,-72.555,1704,America/New_York,Palmer Town,,
170,01056,42.22354,-72.555,20846,America/New_York,Palmer Town,,
171,01057,42.22354,-72.555,8200,America/New_York,Palmer Town,MA,CDP
172,01060,42.22354,-72.555,15237,America/New_York,Palmer Town,MA,city
173,01062,42.22354,-72.555,9188,America/New_York,Palmer Town,MA,city
174,01063,42.22354,-72.555,2121,America/New_York,Palmer Town,MA,city
175,01066,42.22354,-72.555,115,America/New_York,Palmer Town,,
176,01068,42.22354,-72.555,1623,America/New_York,Palmer Town,,
177,01069,42.22354,-72.555,9077,America/New_York,Palmer Town,MA,city
178,01070,42.22354,-72.555,593,America/New_York,Palmer Town,,
179,01071,42.22354,-72.555,1219,America/New_York,Palmer Town,MA,CDP
180,01072,42.22354,-72.555,1447,America/New_York,Palmer Town,,
181,01073,42.22354,-72.555,6212,America/New_York,Palmer Town,,
182,01074,42.22354,-72.555,749,America/New_York,Palmer Town,,
183,01075,42.22354,-72.555,17410,America/New_York,Palmer Town,,
184,01077,42.22354,-72.555,9222,America/New_York,Palmer Town,MA,city
185,01079,42.22354,-72.555,282,America/New_York,Palmer Town,MA,city
186,01080,42.22354,-72.555,2308,America/New_York,Palmer Town,MA,city
187,01081,42.22354,-72.555,1704,America/New_York,Palmer Town,,
188,01082,42.22354,-72.555,10418,America/New_York,Palmer Town,MA,CDP
189,01083,42.22354,-72.555,2746,America/New_York,Palmer Town,MA,CDP
190,01084,42.22354,-72.555,101,America/New_York,Palmer Town,,
191,01085,42.22354,-72.555,41466,America/New_York,Palmer Town,MA,city
192,01088,42.22354,-72.555,654,America/New_York,Palmer Town,,
193,01089,42.22354,-72.555,28635,America/New_York,Palmer Town,MA,city
194,01092,42.22354,-72.555,1123,America/New_York,Palmer Town,MA,CDP
195,01093,42.22354,-72.555,149,America/New_York,Palmer Town,,
196,01094,42.22354,-72.555,64,America/New_York,Palmer Town,,
197,01095,42.22354,-72.555,14615,America/New_York,Palmer Town,MA,CDP
198,01096,42.22354,-72.555,2566,America/New_York,Palmer Town,,
199,01097,42.22354,-72.555,45,America/New_York,Palmer Town,,
200,01098,42.22354,-72.555,1019,America/New_York,Palmer Town,,
201,01103,42.106625,-72.54835,2336,America/New_York,Springfield,MA,city
202,01104,42.106625,-72.54835,21745,America/New_York,Springfield,MA,city
203,01105,42.106625,-72.54835,11469,America/New_York,Springfield,MA,city
204,01106,42.106625,-72.54835,15961,America/New_York,Springfield,MA,CDP
205,01107,42.106625,-72.54835,12270,America/New_York,Springfield,MA,city
206,01108,42.106625,-72.54835,27409,America/New_York,Springfield,MA,city
207,01109,42.106625,-72.54835,31418,America/New_York,Springfield,MA,city
208,01118,42.106625,-72.54835,15009,America/New_York,Springfield,MA,city
209,01119,42.106625,-72.54835,14059,America/New_York,Springfield,MA,city
210,01128,42.106625,-72.54835,3252,America/New_York,Springfield,MA,city
211,01129,42.106625,-72.54835,5993,America/New_York,Springfield,MA,city
212,01144,42.106625,-72.54835,0,America/New_York,Springfield,MA,city
213,01151,42.106625,-72.54835,9627,America/New_York,Springfield,MA,city
214,01201,42.447685,-73.23492,45072,America/New_York,Pittsfield,MA,city
215,01220,42.447685,-73.23492,8106,America/New_York,Pittsfield,MA,CDP
216,01222,42.447685,-73.23492,611,America/New_York,Pittsfield,,
217,01223,42.447685,-73.23492,2588,America/New_York,Pittsfield,,
218,01224,42.447685,-73.23492,201,America/New_York,Pittsfield,,
219,01225,42.447685,-73.23492,3234,America/New_York,Pittsfield,MA,CDP
220,01226,42.447685,-73.23492,6304,America/New_York,Pittsfield,,
221,01229,42.447685,-73.23492,213,America/New_York,Pittsfield,,
222,01230,42.447685,-73.23492,8813,America/New_York,Pittsfield,MA,CDP
223,01235,42.447685,-73.23492,2456,America/New_York,Pittsfield,,
224,01236,42.447685,-73.23492,1593,America/New_York,Pittsfield,MA,CDP
225,01237,42.447685,-73.23492,2269,America/New_York,Pittsfield,,
226,01238,42.447685,-73.23492,5893,America/New_York,Pittsfield,MA,CDP
227,01240,42.447685,-73.23492,5024,America/New_York,Pittsfield,MA,CDP
228,01242,42.447685,-73.23492,165,America/New_York,Pittsfield,MA,CDP
229,01243,42.447685,-73.23492,196,America/New_York,Pittsfield,,
230,01244,42.447685,-73.23492,243,America/New_York,Pittsfield,,
231,01245,42.447685,-73.23492,828,America/New_York,Pittsfield,,
232,01247,42.447685,-73.23492,14967,America/New_York,Pittsfield,MA,city
233,01253,42.447685,-73.23492,903,America/New_York,Pittsfield,,
234,01254,42.447685,-73.23492,962,America/New_York,Pittsfield,,
235,01255,42.447685,-73.23492,850,America/New_York,Pittsfield,,
236,01256,42.447685,-73.23492,733,America/New_York,Pittsfield,,
237,01257,42.447685,-73.23492,2331,America/New_York,Pittsfield,,
238,01258,42.447685,-73.23492,191,America/New_York,Pittsfield,,
239,01259,42.447685,-73.23492,778,America/New_York,Pittsfield,,
240,01260,42.447685,-73.23492,20,America/New_York,Pittsfield,,
241,01262,42.447685,-73.23492,1652,America/New_York,Pittsfield,,
242,01264,42.447685,-73.23492,184,America/New_York,Pittsfield,,
243,01266,42.447685,-73.23492,919,America/New_York,Pittsfield,,
244,01267,42.447685,-73.23492,7985,America/New_York,Pittsfield,MA,CDP
245,01270,42.447685,-73.23492,1002,America/New_York,Pittsfield,,
246,01301,42.577835,-72.46379,17876,America/New_York,Millers Falls,MA,city
247,01330,42.577835,-72.46379,1711,America/New_York,Millers Falls,,
248,01331,42.577835,-72.46379,13865,America/New_York,Millers Falls,MA,CDP
249,01337,42.577835,-72.46379,2515,America/New_York,Millers Falls,,
250,01338,42.577835,-72.46379,79,America/New_York,Millers Falls,,
251,01339,42.577835,-72.46379,1361,America/New_York,Millers Falls,,
252,01340,42.577835,-72.46379,1807,America/New_York,Millers Falls,,
253,01341,42.577835,-72.46379,1605,America/New_York,Millers Falls,,
254,01342,42.577835,-72.46379,1313,America/New_York,Millers Falls,MA,CDP
255,01343,42.577835,-72.46379,190,America/New_York,Millers Falls,,
256,01344,42.577835,-72.46379,1639,America/New_York,Millers Falls,MA,CDP
257,01346,42.577835,-72.46379,453,America/New_York,Millers Falls,,
